산업,종목명,티커,구분,현재가,평균목표가_6M,최고목표가_6M,최저목표가_6M,최근목표가,최근발표일,최근증권사,괴리율_최근,목표가변동률,목표가변동기준,목표가변동_타기관,리포트건수_6M
전자장비와기기,삼성전기,009150,해외,1333000.0,1306000.0,1700000.0,980000.0,1300000.0,2026-05-21,Nomura,-2.48,18.18,Nomura,False,5
전자장비와기기,LG이노텍,011070,해외,865000.0,564000.0,700000.0,380000.0,540000.0,2026-04-28,Nomura,-37.57,42.11,Citi,True,5
전자제품,LG전자,066570,해외,237500.0,143400.0,170000.0,107000.0,145000.0,2026-05-04,JP Morgan,-38.95,-9.38,Nomura,True,5
제약,셀트리온,068270,해외,198400.0,214600.0,270000.0,181000.0,220000.0,2026-04-22,Macquarie,10.89,-18.52,Nomura,True,5
제약,리가켐바이오,141080,해외,139500.0,250000.0,250000.0,250000.0,250000.0,2026-04-01,CLSA,79.21,,,False,1
제약,삼성바이오로직스,207940,해외,1415000.0,2260000.0,2600000.0,1900000.0,2200000.0,2026-04-23,Nomura,55.48,-15.38,Nomura,False,5
조선,HD한국조선해양,009540,해외,417500.0,774800.0,1000000.0,640000.0,640000.0,2026-05-08,Nomura,53.29,-6.43,CLSA,True,5
조선,삼성중공업,010140,해외,29450.0,31200.0,41000.0,23000.0,27000.0,2026-05-04,Nomura,-8.32,17.39,Nomura,False,5
조선,한화오션,042660,해외,121700.0,124400.0,170000.0,72000.0,75000.0,2026-04-28,Nomura,-38.37,4.17,Nomura,False,5
항공화물운송과물류,CJ대한통운,000120,해외,88800.0,110000.0,120000.0,100000.0,100000.0,2026-05-14,JP Morgan,12.61,-16.67,JP Morgan,False,2
"호텔,레스토랑,레저",파라다이스,034230,해외,14670.0,20833.33,24000.0,19000.0,19500.0,2026-04-16,Citi,32.92,2.63,JP Morgan,True,3
"호텔,레스토랑,레저",강원랜드,035250,해외,15610.0,18000.0,18000.0,18000.0,18000.0,2026-01-22,JP Morgan,15.31,,,False,1
화장품,LG생활건강,051900,해외,262000.0,239000.0,281000.0,180000.0,267000.0,2026-05-04,Macquarie,1.91,48.33,JP Morgan,True,5
화학,포스코퓨처엠,003670,해외,241000.0,143800.0,200000.0,100000.0,139000.0,2026-05-04,Macquarie,-42.32,-30.5,Nomura,True,5
화학,LG화학,051910,해외,348000.0,399500.0,460000.0,298000.0,460000.0,2026-05-04,JP Morgan,32.18,4.55,Nomura,True,4
