ticker,stock_name,current_price,market,currency
004360,,12580.0,,KRW
009070,,4190.0,,KRW
015360,,14280.0,,KRW
215100,,4115.0,,KRW
475580,,8150.0,,KRW
215200,,40800.0,,KRW
461300,,16690.0,,KRW
065710,,44500.0,,KRW
088980,,10020.0,,KRW
005430,,85800.0,,KRW
003100,,18610.0,,KRW
052690,,111700.0,,KRW
051600,,46450.0,,KRW
015760,,39200.0,,KRW
045340,,6270.0,,KRW
089590,,4715.0,,KRW
091810,,756.0,,KRW
020560,,7680.0,,KRW
004020,,28900.0,,KRW
130660,,12250.0,,KRW
092790,,12030.0,,KRW
026940,,2580.0,,KRW
453450,,15700.0,,KRW
026910,,6480.0,,KRW
008970,,1223.0,,KRW
271560,,145200.0,,KRW
003230,,1210000.0,,KRW
097950,,200750.0,,KRW
180640,,133800.0,,KRW
260970,,51800.0,,KRW
003490,,29300.0,,KRW
004370,,368000.0,,KRW
225430,,1701.0,,KRW
317240,,758.0,,KRW
203690,,90.0,,KRW
110020,,1827.0,,KRW
012690,,1448.0,,KRW
030000,,18910.0,,KRW
048550,,1692.0,,KRW
214320,,19140.0,,KRW
273060,,863.0,,KRW
458350,,4195.0,,KRW
000890,,2030.0,,KRW
276730,,21350.0,,KRW
402340,,1667000.0,,KRW
000080,,15240.0,,KRW
028260,,423500.0,,KRW
005300,,104600.0,,KRW
043650,,4020.0,,KRW
001740,,10220.0,,KRW
003550,,100300.0,,KRW
040420,,5760.0,,KRW
005360,,1279.0,,KRW
000810,,632000.0,,KRW
005830,,146400.0,,KRW
000400,,2065.0,,KRW
001450,,36600.0,,KRW
001040,,165500.0,,KRW
041190,,4730.0,,KRW
027360,,4720.0,,KRW
241520,,9170.0,,KRW
246690,,1640.0,,KRW
012330,,501000.0,,KRW
029780,,48900.0,,KRW
204320,,50400.0,,KRW
018880,,3875.0,,KRW
073240,,4850.0,,KRW
003690,,13260.0,,KRW
006490,,310.0,,KRW
032640,,14420.0,,KRW
126640,,4250.0,,KRW
065530,,1120.0,,KRW
036630,,6360.0,,KRW
036000,,2770.0,,KRW
418470,,10070.0,,KRW
100790,,18140.0,,KRW
432430,,2115.0,,KRW
016880,,2080.0,,KRW
